Element	Edge	Edge Energy

Ti	K	4966.4
V	K	5465.1
Cr	K	5989.2
Mn	K	6539.0
Fe	K	7112.0
Co	K	7708.9
Ni	K	8332.8
Cu	K	8978.9
Zn	K	9658.6
Ga	K	10367.1
Ge	K	11103.1
As	K	11866.7
Se	K	12657.8
Br	K	13473.7
Kr	K	14325.6
Rb	K	15199.7
Sr	K	16104.6
Y	K	17038.4
Zr	K	17997.6
Nb	K	18985.6
Mo	K	19999.5
Tc	K	21044.0
Ru	K	22117.2
Rh	K	23219.9
Pd	K	24350.3
Sb	L1	4698.3
Te	L1	4939.2
Te	L2	4612.0
I	L1	5188.1
I	L2	4852.1
I	L3	4557.1
Xe	L1	5452.8
Xe	L2	5103.7
Xe	L3	4782.2
Cs	L1	5714.3
Cs	L2	5359.4
Cs	L3	5011.9
Ba	L1	5988.8
Ba	L2	5623.6
Ba	L3	5247.0
La	L1	6266.3
La	L2	5890.6
La	L3	5482.7
Ce	L1	6548.8
Ce	L2	6164.2
Ce	L3	5723.4
Pr	L1	6834.8
Pr	L2	6440.4
Pr	L3	5964.3
Nd	L1	7126.0
Nd	L2	6721.5
Nd	L3	6207.9
Pm	L1	7427.9
Pm	L2	7012.8
Pm	L3	6459.3
Sm	L1	7736.8
Sm	L2	7311.8
Sm	L3	6716.2
Eu	L1	8052.0
Eu	L2	7617.1
Eu	L3	6976.9
Gd	L1	8375.6
Gd	L2	7930.3
Gd	L3	7242.8
Tb	L1	8708.0
Tb	L2	8251.6
Tb	L3	7514.0
Dy	L1	9045.8
Dy	L2	8580.6
Dy	L3	7790.1
Ho	L1	9394.2
Ho	L2	8917.8
Ho	L3	8071.1
Er	L1	9751.3
Er	L2	9264.3
Er	L3	8357.9
Tm	L1	10115.7
Tm	L2	9616.9
Tm	L3	8648.0
Yb	L1	10486.4
Yb	L2	9978.2
Yb	L3	8943.6
Lu	L1	10870.4
Lu	L2	10348.6
Lu	L3	9244.1
Hf	L1	11270.7
Hf	L2	10739.4
Hf	L3	9560.7
Ta	L1	11681.5
Ta	L2	11136.1
Ta	L3	9881.1
W	L1	12099.8
W	L2	11544.0
W	L3	10206.8
Re	L1	12526.7
Re	L2	11958.7
Re	L3	10535.3
Os	L1	12968.0
Os	L2	12385.0
Os	L3	10870.9
Ir	L1	13418.5
Ir	L2	12824.1
Ir	L3	11215.2
Pt	L1	13880.5
Pt	L2	13272.6
Pt	L3	11563.8
Au	L1	14352.8
Au	L2	13733.6
Au	L3	11918.7
Hg	L1	14839.3
Hg	L2	14208.7
Hg	L3	12283.9
Tl	L1	15346.7
Tl	L2	14697.9
Tl	L3	12657.5
Pb	L1	15860.8
Pb	L2	15200.0
Pb	L3	13035.2
Bi	L1	16387.5
Bi	L2	15711.1
Bi	L3	13418.6
Po	L1	16928.0
Po	L2	16237.0
Po	L3	13810.0
At	L1	17482.0
At	L2	16776.0
At	L3	14207.0
Rn	L1	18048.0
Rn	L2	17328.0
Rn	L3	14610.0
Fr	L1	18634.0
Fr	L2	17899.0
Fr	L3	15025.0
Ra	L1	19232.0
Ra	L2	18484.0
Ra	L3	15444.0
Ac	L1	19846.0
Ac	L2	19081.0
Ac	L3	15870.0
Th	L1	20472.0
Th	L2	19693.0
Th	L3	16300.0
Pa	L1	21105.0
Pa	L2	20314.0
Pa	L3	16733.0
U	L1	21758.0
U	L2	20948.0
U	L3	17168.0
Np	L1	22427.0
Np	L2	21600.0
Np	L3	17610.0
Pu	L1	23104.0
Pu	L2	22266.0
Pu	L3	18057.0
Am	L1	23808.0
Am	L2	22952.0
Am	L3	18510.0
Cm	L1	24526.0
Cm	L2	23651.0
Cm	L3	18970.0
Bk	L2	24371.0
Bk	L3	19435.0
Cf	L3	19907.0
Es	L3	20384.0
Fm	L3	20868.0
Md	L3	21356.0
No	L3	21851.0
